trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
140,0,140,0,268.1874220999889,,268.14870230003726,10,268.1874220999889,268.1874220999889,0.02771169994957745,269.728811900015,[-0.062037037037037036],[0.4185185185185185],[1],[0],[0],[1.5526747000403702],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
141,0,141,0,269.7690588000696,,269.7313785000006,10,269.7690588000696,269.7690588000696,0.026277400087565184,272.2113292000722,[0.37962962962962965],[-0.41944444444444445],[1],[0],[0],[2.453857099986635],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
142,0,142,0,272.2370161000872,,272.2141706000548,5,272.2370161000872,272.2370161000872,0.014934999984689057,275.626955899992,[-0.020370370370370372],[0.009259259259259259],[1],[0],[0],[3.3980291000334546],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
143,0,143,0,275.6687734000152,,275.629842900089,10,275.6687734000152,275.6687734000152,0.02810150000732392,277.1432830000995,[-0.175],[-0.33240740740740743],[1],[0],[0],[1.4854513000464067],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
144,0,144,0,277.1851223000558,,277.1461190000409,10,277.1851223000558,277.1851223000558,0.027555800043046474,278.7424602000974,[0.2833333333333333],[-0.12222222222222222],[1],[0],[0],[1.569025400094688],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
145,0,145,0,278.7681857000571,,278.7454299000092,5,278.7681857000571,278.7681857000571,0.014978299965150654,279.82591850007884,[0.11018518518518519],[-0.4185185185185185],[1],[0],[0],[1.0656883000629023],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
146,0,146,0,279.8691894999938,,279.8291913000867,10,279.8691894999938,279.8691894999938,0.02869409997947514,281.0247500000987,[-0.13796296296296295],[-0.362962962962963],[1],[0],[0],[1.1672049999469891],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
147,0,147,0,281.0684887000825,,281.0277702000458,10,281.0684887000825,281.0684887000825,0.029096900019794703,282.95743910002057,[-0.3685185185185185],[0.1574074074074074],[1],[0],[0],[1.900924399960786],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
148,0,148,0,282.9975820000982,,282.9600682000164,10,282.9975820000982,282.9975820000982,0.026316499919630587,286.00716060004197,[0.15925925925925927],[0.13148148148148148],[1],[0],[0],[3.020913099986501],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
149,0,149,0,286.031548100058,,286.00988840009086,5,286.031548100058,286.031548100058,0.014302599942311645,287.62312510004267,[0.25462962962962965],[-0.3175925925925926],[1],[0],[0],[1.5990985999815166],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
150,0,150,0,287.6720000000205,,287.6273192000808,10,287.6720000000205,287.6720000000205,0.032978100003674626,289.2391884000972,[-0.037037037037037035],[0.17592592592592593],[1],[0],[0],[1.5795117999659851],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
151,0,151,0,289.2630094999913,,289.24190880008973,5,289.2630094999913,289.2630094999913,0.013707100064493716,290.77191520005,[-0.18518518518518517],[-0.19074074074074074],[1],[0],[0],[1.5163464000215754],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
152,0,152,0,290.8153020000318,,290.7748241000809,10,290.8153020000318,290.8153020000318,0.029346700059249997,292.4884743000148,[0.16296296296296298],[-0.45740740740740743],[1],[0],[0],[1.684504099888727],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
153,0,153,0,292.51343240006827,,292.4911288000876,5,292.51343240006827,292.51343240006827,0.014698399929329753,293.4879085000139,[0.24351851851851852],[-0.4074074074074074],[1],[0],[0],[0.9822728999424726],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
154,0,154,0,293.5143211000832,,293.4908116000006,5,293.5143211000832,293.5143211000832,0.015606800094246864,295.1206106999889,[0.06111111111111111],[-0.10185185185185185],[1],[0],[0],[1.614465199992992],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
155,0,155,0,295.16410460008774,,295.12409120006487,10,295.16410460008774,295.16410460008774,0.029170699999667704,297.1194832000183,[0.48148148148148145],[0.11481481481481481],[1],[0],[0],[1.9666382999857888],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
156,0,156,0,297.14300440007355,,297.1220933001023,5,297.14300440007355,297.14300440007355,0.013475499930791557,298.53624490008224,[-0.15648148148148147],[0.3861111111111111],[1],[0],[0],[1.4008788999635726],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
157,0,157,0,298.5616340000415,,298.5394100000849,5,298.5616340000415,298.5616340000415,0.014567399979569018,300.05238160002045,[0.24814814814814815],[-0.23333333333333334],[1],[0],[0],[1.4986652999650687],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
