trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
71,0,71,0,138.9424404000165,,138.91920930007473,5,138.9424404000165,138.9424404000165,0.014762300066649914,141.73214700003155,[-0.48518518518518516],[0.4898148148148148],[1],[0],[0],[2.798401200096123],['target'],TK,001,2024-10-10_19h40.06.592,visula search,2024.1.5,None,2024-10-10 19h40.22.567699 +0530,
72,0,72,0,141.77718370000366,,141.73516770009883,10,141.77718370000366,141.77718370000366,0.028331900015473366,144.01489830005448,[0.37407407407407406],[0.05555555555555555],[1],[0],[0],[2.251713900011964],['target'],TK,001,2024-10-10_19h40.06.592,visula search,2024.1.5,None,2024-10-10 19h40.22.567699 +0530,
73,0,73,0,144.03917850006837,,144.01744389999658,5,144.03917850006837,144.03917850006837,0.013768300064839423,146.0141513000708,[-0.4046296296296296],[0.3648148148148148],[1],[0],[0],[1.9831087000202388],['target'],TK,001,2024-10-10_19h40.06.592,visula search,2024.1.5,None,2024-10-10 19h40.22.567699 +0530,
74,0,74,0,146.0550032000756,,146.01711210003123,10,146.0550032000756,146.0550032000756,0.02659779996611178,151.67951380007435,[-0.22962962962962963],[-0.05462962962962963],[1],[0],[0],[5.636118899914436],['target'],TK,001,2024-10-10_19h40.06.592,visula search,2024.1.5,None,2024-10-10 19h40.22.567699 +0530,
75,0,75,0,151.7031615000451,,151.68203800008632,5,151.7031615000451,151.7031615000451,0.01394780003465712,153.84537180000916,[0.35462962962962963],[-0.19166666666666668],[1],[0],[0],[2.1495222999947146],['target'],TK,001,2024-10-10_19h40.06.592,visula search,2024.1.5,None,2024-10-10 19h40.22.567699 +0530,
76,0,76,0,153.88986950006802,,153.84862870001234,10,153.88986950006802,153.88986950006802,0.029097900027409196,156.5106081000995,[0.075],[0.41944444444444445],[1],[0],[0],[2.6332486999453977],['target'],TK,001,2024-10-10_19h40.06.592,visula search,2024.1.5,None,2024-10-10 19h40.22.567699 +0530,
77,0,77,0,156.53442030004226,,156.51329220004845,5,156.53442030004226,156.53442030004226,0.013793999911285937,158.3766706000315,[-0.062037037037037036],[-0.21666666666666667],[1],[0],[0],[1.8497595000080764],['target'],TK,001,2024-10-10_19h40.06.592,visula search,2024.1.5,None,2024-10-10 19h40.22.567699 +0530,
78,0,78,0,158.40437440003734,,158.37985280004796,5,158.40437440003734,158.40437440003734,0.0168279999634251,159.95980260008946,[0.43148148148148147],[0.46111111111111114],[1],[0],[0],[1.5634541000472382],['target'],TK,001,2024-10-10_19h40.06.592,visula search,2024.1.5,None,2024-10-10 19h40.22.567699 +0530,
79,0,79,0,159.98512270010542,,159.96281040005852,5,159.98512270010542,159.98512270010542,0.014708100003190339,161.30934700008947,[0.45925925925925926],[0.48703703703703705],[1],[0],[0],[1.3320260000182316],['target'],TK,001,2024-10-10_19h40.06.592,visula search,2024.1.5,None,2024-10-10 19h40.22.567699 +0530,
80,0,80,0,161.33612650004216,,161.31250190001447,5,161.33612650004216,161.33612650004216,0.015863400069065392,162.9250457000453,[-0.2],[0.2074074074074074],[1],[0],[0],[1.597031900077127],['target'],TK,001,2024-10-10_19h40.06.592,visula search,2024.1.5,None,2024-10-10 19h40.22.567699 +0530,
